cloud_region,location,google_cfe,grid_carbon_intensity_gco2eq_per_kwh,google_cfe_percent
europe-north2,Stockholm,1.0,2.73,100.0
northamerica-northeast1,Montréal,0.99,5.48,99.0
europe-west6,Zürich,0.98,15.05,98.0
europe-west9,Paris,0.96,16.3,96.0
europe-north1,Finland,0.98,39.32,98.0
northamerica-northeast2,Toronto,0.84,58.56,84.0
southamerica-east1,Sāo Paulo,0.88,67.32,88.0
us-west1,Oregon,0.87,79.23,87.0
europe-southwest1,Madrid,0.87,89.04,87.0
europe-west1,Belgium,0.84,103.37,84.0
europe-west2,London,0.79,105.94,79.0
us-west2,Los Angeles,0.63,169.28,63.0
europe-west8,Milan,0.73,201.69,73.0
europe-west12,Turin,0.73,201.69,73.0
europe-west4,Eemshaven,0.83,208.81,83.0
southamerica-west1,Santiago,0.92,238.0,92.0
europe-west3,Frankfurt,0.68,275.82,68.0
europe-west10,Berlin,0.68,275.82,68.0
asia-northeast2,Osaka,0.46,296.19,46.0
us-south1,Dallas,0.94,302.95,94.0
northamerica-south1,Mexico,0.19,305.0,19.0
us-east4,Northern Virginia,0.62,323.05,62.0
us-east5,Columbus,0.62,323.05,62.0
us-east2,Georgia,0.42,340.42,42.0
asia-northeast3,Seoul,0.37,356.57,37.0
us-west4,Las Vegas,0.64,357.3,64.0
me-central1,Doha,0.01,366.0,1.0
asia-southeast1,Singapore,0.04,366.85,4.0
us-central2,Oklahoma,0.88,372.23,88.0
me-central2,Dammam,0.01,382.23,1.0
us-central1,Iowa,0.87,412.72,87.0
me-west1,Tel Aviv,0.07,433.75,7.000000000000001
asia-east1,Taiwan,0.17,439.29,17.0
asia-northeast1,Tokyo,0.17,452.85,17.0
australia-southeast2,Melbourne,0.39,454.37,39.0
australia-southeast1,Sydney,0.34,497.5,34.0
asia-east2,Hong Kong,0.01,505.02,1.0
asia-south2,Delhi,0.29,531.83,28.999999999999996
us-west3,Salt Lake City,0.33,555.17,33.0
asia-southeast2,Jakarta,0.18,560.55,18.0
us-east1,South Carolina,0.31,575.77,31.0
europe-central2,Warsaw,0.4,642.88,40.0
africa-south1,Johannesburg,0.15,656.85,15.0
asia-south1,Mumbai,0.09,678.76,9.0
